Comment,Designator,Footprint,LCSC
FerriteBead_Small,"FB1,FB2",L_0805_2012Metric,C1017
82pF,C19,C_0402_1005Metric,C107011
12.4k,R7,R_0402_1005Metric,C11692
1k,"R109,R112,R115,R118,R121,R124,R127,R130,R133,R136,R139,R142,R145,R148,R151,R154,R157,R160,R163,R166,R169,R172,R175,R178,R181,R25,R33,R38",R_0402_1005Metric,C11702
2.2uF,"C35,C36",C_0402_1005Metric,C12530
442,R15,R_0402_1005Metric,C126137
18k,"R3,R8",R_0402_1005Metric,C138044
3.74k,R11,R_0402_1005Metric,C15172
10nF,"C37,C45,C47,C48,C49,C50,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72",C_0402_1005Metric,C15195
100nF,"C100,C102,C104,C106,C108,C110,C112,C114,C116,C118,C12,C120,C122,C124,C126,C128,C130,C132,C134,C136,C138,C140,C142,C21,C22,C23,C24,C25,C26,C28,C29,C31,C32,C39,C40,C42,C44,C5,C93,C94,C96,C98",C_0402_1005Metric,C1525
2.2nF,"C18,C73,C74,C75,C76",C_0402_1005Metric,C1531
22nF,"C101,C103,C105,C107,C109,C111,C113,C115,C117,C119,C121,C123,C125,C127,C129,C131,C133,C135,C137,C139,C141,C143,C46,C51,C95,C97,C99",C_0402_1005Metric,C1532
15pF,"C33,C34",C_0402_1005Metric,C1548
STSPIN250,"U12,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U5,U50,U51,U52,U53,U54,U55,U56,U57,U7",VFQFPN16_STSPIN_STM,C155561
Barrel_Jack_Switch,J1,BarrelJack_GCT_DCJ200-10-A_Horizontal,C16214
56uH,L1,L_Changjiang_FNR5020S,C167944
1.2uH,L2,L_Changjiang_FNR8040S,C168113
1.0R,"R108,R111,R114,R117,R120,R123,R126,R129,R132,R135,R138,R141,R144,R147,R150,R153,R156,R159,R162,R165,R168,R171,R174,R177,R180,R26,R31",R_1206_3216Metric,C17928
D_Schottky,D1,D_SOD-323,C191023
LED,D2,LED_0603_1608Metric,C2286
4.7uF,"C27,C30",C_0402_1005Metric,C23733
100k,"R1,R5",R_0402_1005Metric,C25741
10k,"R10,R107,R110,R113,R116,R119,R122,R125,R128,R131,R134,R137,R140,R143,R146,R149,R152,R155,R158,R161,R164,R167,R170,R173,R176,R179,R182,R2,R23,R27,R28,R29,R30,R32,R34,R35,R36,R37,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57",R_0402_1005Metric,C25744
11k,"R13,R14,R18,R19,R22",R_0402_1005Metric,C25749
33k,"R16,R17,R20,R21",R_0402_1005Metric,C25779
4.7k,R6,R_0402_1005Metric,C25900
5.6k,R24,R_0402_1005Metric,C25908
57.6k,R9,R_0402_1005Metric,C26983
5.9k,R4,R_0402_1005Metric,C270591
"24MHz, 9pF",Y1,Crystal_SMD_SeikoEpson_FA128-4Pin_2.0x1.6mm,C2929399
TPS54620,U2,RGY14_2P05X2P05,C29438
6.2nF,C20,C_0805_2012Metric,C3037648
SW_Push,"SW1,SW2",SW_Push_1P1T_XKB_TS-1187A,C318884
TLV9062xD,U4,SOIC-8_3.9x4.9mm_P1.27mm,C398355
STM32H750VBTx,U6,LQFP-100_14x14mm_P0.5mm,C404010
10,R12,R_0402_1005Metric,C409845
22uF,"C13,C14,C15,C16,C17",C_0402_1005Metric,C415703
10uF,"C10,C11,C2,C3,C4,C41,C43,C8,C9",C_1206_3216Metric,C454102
100uH,L3,L_0603_1608Metric,C51942
1uF,C38,C_0402_1005Metric,C52923
Screw Terminal,J2,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",C557646
220uF,"C6,C7",CP_Elec_6.3x5.4,C59953
10nF,C1,C_0402_1005Metric,C60133
M24C02-WMN,U3,SOIC-8_3.9x4.9mm_P1.27mm,C7562
TPS5430DDA,U1,TI_SO-PowerPAD-8_ThermalVias,C9864
Picoblade,J38,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Conn_01x03,J7,PinHeader_1x03_P2.54mm_Vertical,
Picoblade,J44,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
MountingHole_Pad,H2,MountingHole_3.2mm_M3_DIN965_Pad,
Picoblade,J8,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J40,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Conn_01x06,J5,PinHeader_1x06_P2.54mm_Vertical,
Picoblade,J35,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
MountingHole_Pad,H4,MountingHole_3.2mm_M3_DIN965_Pad,
Picoblade,J13,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J48,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J43,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J52,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J50,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J56,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Conn_01x02,J3,PinSocket_1x02_P2.54mm_Vertical,
Picoblade,J37,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J54,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J41,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J58,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J46,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Conn_01x05,J6,PinHeader_1x05_P2.54mm_Vertical,
Picoblade,J53,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J45,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J42,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J51,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J39,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
MountingHole_Pad,H1,MountingHole_3.2mm_M3_DIN965_Pad,
Conn_01x02,J4,PinSocket_1x02_P2.54mm_Vertical,
Picoblade,J57,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J36,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J59,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
MountingHole_Pad,H3,MountingHole_3.2mm_M3_DIN965_Pad,
Picoblade,J55,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J49,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
Picoblade,J47,Molex_PicoBlade_53047-0210_1x02_P1.25mm_Vertical,
