Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10nF,C_0402_1005Metric,142.4432,-117.3988,90.0,top
C2,10uF,C_1206_3216Metric,151.511,-121.412,-90.0,top
C3,10uF,C_1206_3216Metric,154.1272,-121.412,-90.0,top
C4,10uF,C_1206_3216Metric,156.6926,-121.412,-90.0,top
C5,100nF,C_0402_1005Metric,149.606,-121.3104,-90.0,top
C6,220uF,CP_Elec_6.3x5.4,155.9052,-112.903,0.0,top
C7,220uF,CP_Elec_6.3x5.4,139.8972,-112.3188,180.0,top
C8,10uF,C_1206_3216Metric,150.622,-140.4084,-90.0,top
C9,10uF,C_1206_3216Metric,158.1912,-140.4084,-90.0,top
C10,10uF,C_1206_3216Metric,155.6639,-140.4084,-90.0,top
C11,10uF,C_1206_3216Metric,153.1366,-140.4084,-90.0,top
C12,100nF,C_0402_1005Metric,143.6116,-144.066,-90.0,top
C13,22uF,C_0402_1005Metric,137.1092,-135.2776,0.0,top
C14,22uF,C_0402_1005Metric,133.096,-138.1478,180.0,top
C15,22uF,C_0402_1005Metric,136.779,-145.209,0.0,top
C16,22uF,C_0402_1005Metric,133.096,-140.4719,180.0,top
C17,22uF,C_0402_1005Metric,133.096,-142.796,180.0,top
C18,2.2nF,C_0402_1005Metric,143.9164,-136.8016,90.0,top
C19,82pF,C_0402_1005Metric,145.6436,-137.1572,0.0,top
C20,6.2nF,C_0805_2012Metric,146.3294,-134.3632,180.0,top
C21,100nF,C_0402_1005Metric,149.1742,-56.4134,90.0,top
C22,100nF,C_0402_1005Metric,141.8844,-83.6422,180.0,top
C23,100nF,C_0402_1005Metric,153.797,-83.6168,180.0,top
C24,100nF,C_0402_1005Metric,137.8204,-72.8726,0.0,top
C25,100nF,C_0402_1005Metric,156.9974,-68.0974,-90.0,top
C26,100nF,C_0402_1005Metric,141.4272,-64.9224,0.0,top
C27,4.7uF,C_0402_1005Metric,141.4272,-63.8302,180.0,top
C28,100nF,C_0402_1005Metric,163.6322,-89.631833,0.0,top
C29,100nF,C_0402_1005Metric,138.303,-77.6478,90.0,top
C30,4.7uF,C_0402_1005Metric,137.1854,-77.6478,-90.0,top
C31,100nF,C_0402_1005Metric,137.795,-70.7898,0.0,top
C32,100nF,C_0402_1005Metric,165.1,-77.45,-90.0,top
C33,15pF,C_0402_1005Metric,134.4168,-72.2122,180.0,top
C34,15pF,C_0402_1005Metric,134.7216,-76.0476,0.0,top
C35,2.2uF,C_0402_1005Metric,152.273,-84.074,-90.0,top
C36,2.2uF,C_0402_1005Metric,158.4452,-69.6468,0.0,top
C37,10nF,C_0402_1005Metric,129.8702,-51.2826,0.0,top
C38,1uF,C_0402_1005Metric,134.3556,-99.7732,-90.0,top
C39,100nF,C_0402_1005Metric,165.5572,-120.3934,-90.0,top
C40,100nF,C_0402_1005Metric,81.377663,-51.242174,180.0,top
C41,10uF,C_1206_3216Metric,167.3352,-121.2596,-90.0,top
C42,100nF,C_0402_1005Metric,74.422274,-123.1602,180.0,top
C43,10uF,C_1206_3216Metric,167.2082,-138.9126,-90.0,top
